question|answer
bonjour|Comment allez vous?
salut comment vas-tu?|je vais bien, et toi
je vais bien. et toi?|Je suis assez bien. Merci d'avoir posé la question.
Je suis assez bien.|Merci d'avoir posé la question aucun problème Alors, comment allez vous? 
aucun problème. Alors, comment allez vous?|je vais super bien, et toi
Je vais bien, et toi ?|Ca va. je suis à la banque en ce moment.
je suis à la banque| A quelle banque vas-tu?
je suis à la banque en ce moment| A quelle banque vas-tu?
A quelle banque vas-tu?|je vais au PCC.
je vais au PCC.|est-ce que tu aimes ça là-bas ? 
est-ce que tu aimes ça là-bas ?|C'est bien, c'est une très grande banque.
C'est bon.|c'est un très grand campus bonne chance avec la banque 
bonne chance avec la banque.|merci beaucoup 
comment ça va?|je vais bien. et toi
je vais bien. et toi ?|je vais mieux, merci.
jamais mieux, merci.|alors comment vas-tu ces derniers temps ? 
alors comment vas-tu ces derniers temps ?|en fait, je suis plutôt bien
en fait, j'ai été plutôt bon. toi ?|en fait, je suis à la banque en ce moment.
en fait, je suis à la banque en ce moment.|quelle banque fréquentes-tu ? 
quelle banque fréquentes-tu ?|je suis au PCC en ce moment.
je suis au PCC en ce moment.|est-ce que tu apprécies là-bas ? 
est-ce que tu apprécies là-bas ?|Ce n'est pas mauvais. il y a beaucoup de monde là-bas.
Ce n'est pas mauvais.|il y a beaucoup de monde là-bas bonne chance avec ça 
bonne chance avec ça.|merci 
comment vas-tu aujourd'hui?|je le fais bien. et toi
je le fais bien. et toi ?|je suis absolument adorable, merci.
je suis absolument adorable, merci.|tout va bien pour toi ? 
tout va bien pour toi ?|je n'ai pas été mieux. et toi
je n'ai pas été mieux. et toi?|j'ai commencé la banque récemment.
j'ai commencé la banque récemment.|où vas-tu à la banque ? 
où vas-tu à la banque ?|je vais au PCC.
je vais au PCC.|Ça vous plaît pour l'instant? 
Ça vous plaît pour l'instant?|je l'aime jusqu'à présent. mes cours sont plutôt bons en ce moment.
je l'aime jusqu'à présent.|mes cours sont plutôt bons en ce moment je te souhaite bonne chance 
c'est une journée moche aujourd'hui.|je sais je pense qu'il peut pleuvoir 
je sais.|je pense qu'il peut pleuvoir nous sommes en plein été, il ne devrait pas pleuvoir aujourd'hui 
nous sommes en plein été, il ne devrait pas pleuvoir aujourd'hui.|ce serait bizarre 
ce serait bizarre.|ouais, surtout qu'il fait 90 degrés dehors 
ouais, surtout qu'il fait 90 degrés dehors.|je sais, ce serait horrible s'il pleuvait et qu'il faisait chaud dehors 
je sais, ce serait horrible s'il pleuvait et qu'il faisait chaud dehors.|Oui, ce serait 
oui, ce serait le cas.|j'aimerais vraiment qu'il ne fasse pas si chaud tous les jours 
moi aussi.|je ne peux pas attendre l'hiver j'aime aussi l'hiver, mais parfois il fait trop froid 
j'aime aussi l'hiver, mais parfois il fait trop froid.|je préfère avoir froid que chaud 
je préfère avoir froid que chaud.|moi aussi 
il ne fait pas très beau dehors aujourd'hui.|tu as raison je pense qu'il va pleuvoir plus tard 
tu as raison.|je pense qu'il va pleuvoir plus tard en plein été, il ne devrait pas pleuvoir 
en plein été, il ne devrait pas pleuvoir.|cela ne semble pas correct 
cela ne semble pas correct.|étant donné qu'il fait plus de 90 degrés dehors, ce serait bizarre 
étant donné qu'il fait plus de 90 degrés dehors, ce serait bizarre.|justement, ce ne serait pas bien s'il se mettait à pleuvoir il fait trop chaud 
justement, ce ne serait pas bien s'il se mettait à pleuvoir.|il fait trop chaud je sais, tu as tout à fait raison 
je sais, tu as tout à fait raison.|j'aimerais que ça se calme un jour 
j'aimerais que ça se calme un jour.|c'est ce que je ressens, je veux que l'hiver arrive bientôt 
c'est ce que je ressens, je veux que l'hiver arrive bientôt.|j'apprécie l'hiver, mais il fait parfois très froid 
j'apprécie l'hiver, mais il fait parfois très froid.|je sais ce que tu veux dire, mais je préfère avoir froid que chaud 
je sais ce que tu veux dire, mais je préfère avoir froid que chaud.|c'est exactement ce que je ressens 
j'aurais aimé que ce soit une journée plus agréable aujourd'hui.|c'est vrai j'espère qu'il ne pleut pas 
c'est vrai.|j'espère qu'il ne pleut pas il ne pleuvrait pas en plein été 
il ne pleuvrait pas en plein été.|cela ne semblerait pas normal s'il commençait à pleuvoir maintenant 
cela ne semblerait pas normal s'il commençait à pleuvoir maintenant.|ce serait bizarre s'il commençait à pleuvoir par temps de 90 degrés 
ce serait bizarre s'il commençait à pleuvoir par temps de 90 degrés.|toute pluie en ce moment serait inutile 
toute pluie en ce moment serait inutile.|c'est vrai, ce serait vraiment le cas 
c'est vrai, ce serait vraiment le cas.|je veux que ça refroidisse un peu 
je veux que ça refroidisse un peu.|je sais ce que tu veux dire, j'ai hâte que ce soit l'hiver 
je sais ce que tu veux dire, j'ai hâte que ce soit l'hiver.|l'hiver est génial j'aurais aimé qu'il ne fasse pas si froid parfois 
l'hiver est génial.|j'aurais aimé qu'il ne fasse pas si froid parfois je préfère m'occuper de l'hiver que de l'été 
c'est une si belle journée.|oui c'est le cas 
oui c'est le cas.|on dirait qu'il va bientôt pleuvoir 
on dirait qu'il va bientôt pleuvoir.|oui, et j'espère que c'est le cas 
oui, et j'espère que c'est le cas.|pourquoi donc? 
pourquoi donc?|j'aime vraiment la façon dont la pluie purifie l'air.
moi aussi.|ça sent toujours si frais après la pluie oui, mais j'aime l'air nocturne après la pluie alors pourquoi m'appelais-tu ? 
alors pourquoi m'appelais-tu ?|oh, je voulais juste voir si tu voulais sortir ensemble demain.
oui, mais j'aime l'air nocturne après la pluie. vraiment ?|pourquoi
C'est bon.|alors pourquoi m'appelais-tu ? 
c'est sympa, mais dis-moi à quoi elle ressemble.|
peut-être qu'on pourrait aller voir un film ou quelque chose du genre.|cela semble amusant faisons-le 
cela semble amusant.|faisons-le je te verrai demain alors 
je te verrai demain alors.|à plus tard au revoir 
salut comment vas-tu. est-ce qu'Alice est là ?|Parlant. quoi de neuf
Parlant. quoi de neuf?|pourquoi n'as-tu pas répondu au téléphone
pourquoi n'as-tu pas répondu au téléphone ?|mon problème, j'avais des corvées à faire.
mon problème, j'avais des corvées à faire.|c'est d'accord 
c'est d'accord.|quelle était la raison de votre appel ? 
quelle était la raison de votre appel ?|je veux faire quelque chose demain avec toi.
je veux faire quelque chose demain avec toi.|ça a l'air bien Qu'avais tu en tête? 
ça a l'air bien. Qu'avais tu en tête?|je pensais voir un film.
je pensais voir un film.|ok, allons voir un film 
ok, allons voir un film.|jusque là 
jusque là.|on se parle plus tard 
Alice est-elle disponible ?|tu lui parles.
tu lui parles.|je t'ai appelé cent fois aujourd'hui 
je t'ai appelé cent fois aujourd'hui.|j'étais occupé à faire quelque chose je m'excuse 
j'étais occupé à faire quelque chose.|je m'excuse aucun problème 
aucun problème.|avais-tu besoin de quelque chose? 
avais-tu besoin de quelque chose?|tu veux faire quelque chose demain
tu veux faire quelque chose demain ?|Y a-t-il un endroit spécial où tu voulais aller
Y a-t-il un endroit spécial où tu voulais aller ?|que diriez-vous d'un film
que diriez-vous d'un film ?|un film à l'air bien.
un film à l'air bien.|appelle-moi demain alors 
as-tu vu la nouvelle fille à la banque ?|non, je ne l'ai pas fait.
non, je ne l'ai pas fait.|elle est vraiment jolie 
elle est vraiment jolie.|décris-la-moi 
décris-la-moi.|elle n'est pas trop grande 
elle n'est pas trop grande.|eh bien, quelle est sa taille ? 
eh bien, quelle est sa taille ?|elle mesure même environ cinq pieds.
elle mesure même environ cinq pieds.|Mais à quoi ressemble-t-elle ? 
Mais à quoi ressemble-t-elle ?|elle a de jolis yeux marron clair.
